id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-08-24T07:39:56;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-08-24T02:40:16;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-08-24T04:49:18;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-08-23T21:33:43;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-08-24T12:56:49;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-08-24T00:18:55;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-08-24T03:15:27;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-08-23T17:18:06;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-08-23T20:07:42;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-08-23T20:50:07;601;74069
